case_id,y_0,y_1,y_2,y_3,y_4,y_5
case_daadad9d,1,1,1,1,1,0
case_9105febd,1,1,1,1,0,1
case_398aa514,1,1,1,1,0,1
case_bb7ced46,1,0,1,0,1,1
case_de5a6abb,1,0,1,1,1,0
case_aa79c340,1,0,1,1,1,1
case_9d1f83e1,0,0,1,1,1,1
case_835c403e,1,1,1,1,1,1
case_b1b95e3f,0,0,1,1,1,1
case_4c9e36fa,1,1,1,1,1,1
case_9bfb48ce,0,0,1,0,1,1
case_32d79c38,1,1,1,0,1,1
case_90460f1f,1,1,1,1,1,1
case_c86f240a,1,1,1,1,1,1
case_aa9bbba1,0,1,1,1,1,0
case_a43de0f6,0,0,1,1,0,0
case_fb151bcc,0,1,1,0,1,0
case_880a47ef,1,1,1,1,1,1
case_1859ea81,1,1,1,0,1,1
case_3888bea4,0,1,1,1,1,1
case_aa7f322f,1,1,1,0,1,0
case_21c1c4f6,0,1,0,1,0,1
case_476c1eb3,0,1,0,1,1,1
case_48c846a9,1,1,1,1,1,1
case_f73abed4,1,1,1,1,1,1
case_aa1bb765,1,1,1,0,1,1
case_b051c22e,0,1,1,1,1,1
case_543197f6,0,1,1,0,0,1
case_e886455c,0,1,1,1,0,1
case_04bdcefb,1,1,1,1,1,1
case_7f523d43,1,0,1,1,1,1
case_5c01642b,1,1,1,0,1,0
case_c32d069a,1,0,1,0,1,0
case_21167170,0,1,1,1,1,1
case_b84a82e8,1,1,1,1,1,1
case_8ee4d79c,1,1,1,1,1,1
case_10897136,1,1,1,1,0,1
case_7fa57661,0,1,0,1,1,1
case_9eb823b0,1,1,0,1,1,0
case_8b72f1de,1,1,1,1,1,1
case_54037ed6,0,1,0,0,0,0
case_c12aca33,1,0,1,1,0,1
case_cd042745,1,1,1,1,1,1
case_0a6ea2f0,0,1,1,1,0,1
case_cdde76e4,0,1,0,0,1,1
case_469032f3,0,0,1,1,1,1
case_7ae6b8a4,0,1,1,1,1,1
case_eb098152,0,1,1,1,1,1
case_49d74583,0,1,1,1,1,0
case_7433c40b,0,0,1,0,0,0
case_41e3f4ce,1,1,1,1,1,1
case_8b556bb2,0,0,0,1,1,0
case_298bbf3f,0,1,1,1,1,1
case_ef63c78d,0,0,0,0,0,1
case_71358f40,0,0,1,0,1,0
case_8aa479a6,1,1,1,1,0,1
case_bb272f94,0,1,1,1,1,1
case_bda922c3,1,1,1,1,0,1
case_cd504ad8,1,1,0,1,1,1
case_22a59dfc,0,1,0,0,1,0
case_280c4cdb,1,1,0,1,0,1
case_546dcd4c,1,0,1,1,1,1
case_d7ec35cd,1,1,1,0,0,0
case_0b74fae1,1,0,1,1,1,1
case_a34ca890,0,0,0,1,1,0
case_8235404a,1,1,1,1,1,1
case_5bdbfa33,1,1,1,1,1,1
case_1c4dc665,1,1,1,1,0,0
case_da55b0d7,1,1,1,1,1,1
case_19505bd0,1,1,1,1,1,1
case_e5ab68eb,0,0,1,0,1,1
case_8804e55c,0,0,1,0,1,1
case_12602980,0,1,1,0,0,1
case_aa97601c,1,1,1,1,1,1
case_c0c73a75,1,1,0,1,0,1
case_e2746d37,0,0,1,1,1,0
case_1c6395fd,0,1,1,0,1,1
case_105a967d,0,1,1,1,1,1
case_1355d55c,0,1,0,0,1,1
case_036e02fa,1,0,1,1,1,0
case_8af8ae64,0,1,1,1,1,0
case_03b15934,1,1,1,1,1,1
case_f403e958,1,1,1,1,1,1
case_22d256f6,0,0,1,0,0,0
case_90c3147d,1,1,1,1,0,1
case_fe069cbb,1,1,1,0,1,1
case_ad6657e2,0,1,1,1,1,1
case_1d334b34,1,1,0,1,1,1
case_b8601c7a,1,0,1,0,1,1
case_c7fff613,1,1,1,1,0,1
case_72463ae4,0,0,1,1,1,1
case_8943db37,1,1,1,1,1,1
case_4e7bfc67,1,0,1,0,1,1
case_bd340391,1,1,1,0,1,1
case_5e39da87,1,0,1,0,1,0
case_6b786184,1,1,1,1,1,1
case_ffa50905,1,0,1,0,1,1
case_40d487b0,1,1,1,1,1,1
case_7e512705,0,1,1,1,1,1
case_ab0faff7,1,0,1,0,1,0
case_e5467863,0,1,1,1,1,0
case_d34efcef,1,1,1,1,1,1
case_f324013a,1,0,1,1,1,1
case_cd5c3787,0,0,1,1,1,1
case_3f03dd6c,1,1,1,0,1,0
case_c64af101,0,0,0,1,1,1
case_68419706,0,0,0,0,1,1
case_80f17910,0,0,1,1,0,0
case_18f8bd00,0,0,0,1,0,1
case_5b0b7f02,1,1,1,1,1,0
case_b91c9bf8,1,1,1,0,1,1
case_6a3b2446,0,0,1,0,0,1
case_45617fed,1,1,1,0,0,1
case_0d696e1b,1,1,1,1,1,1
case_854f4d93,0,0,1,1,0,1
case_6baf5a1e,0,1,1,0,1,0
case_3eb8669e,1,1,1,0,1,1
case_564c0298,1,1,1,1,0,1
case_005c96b8,1,0,1,1,1,0
case_d996ba8a,0,1,1,1,1,1
case_46d537df,0,0,1,1,1,1
case_ac324afb,1,1,1,1,1,1
case_78df4784,0,0,1,0,0,0
case_bd2dc7b3,1,1,1,0,0,1
case_cdd630b3,1,0,0,0,1,1
case_bec0079e,1,1,1,1,1,1
case_a6a56bfc,1,1,1,1,1,1
case_3b7b4a90,0,1,1,1,1,1
case_8aec3d5f,0,1,1,1,1,1
case_9a219e3d,0,0,1,1,0,1
case_6c810fbc,1,0,1,1,1,0
case_22549524,1,1,1,0,1,0
case_8bbf09c3,1,1,1,1,1,1
case_bdff3f1b,1,1,1,1,1,1
case_21b05409,1,1,1,1,1,0
case_a5a3a451,0,0,1,0,0,1
case_47641ddd,1,1,1,1,0,1
case_094b443b,0,1,1,1,1,1
case_11320f8a,1,0,1,1,0,0
case_27785550,1,1,1,1,1,1
case_5eeb4ac4,1,0,1,1,1,1
case_f667ea7f,0,1,1,0,0,1
case_d5a44cb0,1,0,1,1,1,1
case_27f1506e,1,1,1,1,1,1
case_69c3c64f,0,1,1,0,1,1
case_f7eaf5d8,1,0,1,1,1,0
case_e4a6c1d6,1,1,1,1,1,1
case_6baf2de0,1,1,1,1,1,1
case_932749b6,1,1,1,1,0,1
case_eac811e0,1,1,1,1,1,1
case_24199f3c,0,0,1,0,1,1
case_3beda2cf,1,1,1,1,0,1
case_a5e0d58a,0,1,1,1,0,1
case_528d0818,0,0,1,0,1,1
case_7fae60bd,0,0,1,1,0,1
case_4e91a823,1,1,1,1,1,1
case_7cc965dc,1,1,1,1,1,1
case_760219ab,1,1,1,0,0,1
case_9e3d5bcd,1,1,1,0,1,1
case_19aaa084,1,1,1,1,1,1
case_73d3539c,1,1,1,1,1,1
case_637c90fe,0,0,1,0,1,1
case_e821d295,1,0,1,0,1,1
case_e92b1116,0,0,1,1,0,0
case_b61d246f,1,1,1,0,1,1
case_82dfe65a,1,0,1,1,0,1
case_96dfcace,0,0,1,1,1,1
case_ba582223,1,1,1,1,1,0
case_73ac4df5,0,1,1,1,1,1
case_267cb7c3,0,1,1,1,1,1
case_9b0d693b,1,1,1,1,1,1
case_4abc98f3,1,1,1,1,1,1
case_bc00ffcf,0,1,1,1,1,0
case_97b3361f,0,1,1,1,0,1
case_d7f250af,1,1,1,1,1,1
case_e94f8117,1,1,1,1,1,1
case_a6010f86,1,1,1,1,1,1
case_57b46dd5,0,1,1,0,0,1
case_f53efd26,1,1,1,0,1,1
case_ea1c1daa,1,1,1,0,1,1
case_abce90cb,0,1,1,1,1,1
case_016f7411,0,1,1,1,1,1
case_db609b1c,1,0,1,1,1,1
case_1b61341c,0,1,0,1,0,1
case_5d52565a,1,1,1,1,0,1
case_7bf010e5,0,1,1,0,0,1
case_fadac04f,1,1,1,0,1,1
case_9098d6be,1,0,1,1,1,1
case_2cb9d2b6,1,1,0,0,1,1
case_6d1a7907,1,1,1,1,1,0
case_bb58378f,1,0,1,0,1,1
case_29bab795,1,1,1,1,1,1
case_e0fa7224,1,0,1,0,0,1
case_ec361c4c,0,0,1,1,1,1
case_c1dfe7b1,1,0,1,1,1,1
case_a0bc0a30,1,1,1,1,1,1
case_c3aaae60,1,1,1,1,1,1
case_a74617c7,1,1,1,0,0,1
case_1e2eeac4,1,1,1,1,0,1
case_266b0077,0,0,1,1,1,1
case_d86c7fc3,0,1,1,0,1,0
case_9181352f,1,1,0,0,0,1
case_d90b2988,0,1,1,1,1,1
case_8cb4a73f,0,1,1,1,1,1
case_0b743b7e,0,1,1,0,0,1
case_a89178cc,1,1,1,0,1,1
case_2180e490,0,1,1,0,0,0
case_ee0dc3aa,1,0,1,0,1,0
case_f2fdf38b,1,1,1,1,1,0
case_17cd8985,0,0,1,0,1,0
case_b6c9b576,0,1,1,1,0,1
case_2e0630bf,0,1,1,0,0,1
case_b57983aa,1,0,1,1,1,1
case_a96fb293,1,1,1,1,1,1
case_8fb77098,1,1,0,1,0,0
case_819909e3,1,1,1,1,1,1
case_5a1be99d,1,1,1,1,1,1
case_f6320e72,0,0,0,1,1,1
case_34ddbf7e,1,0,0,0,0,1
case_9889f36d,1,1,1,0,0,1
case_51e20c83,0,0,0,0,0,1
case_e142b38c,1,0,1,1,1,1
case_e3340c18,0,1,1,1,1,0
case_bb2bcb7c,1,1,0,1,1,1
case_8d41f03d,0,1,1,1,0,1
case_efc43efb,1,0,1,1,0,1
case_2e7ee949,1,1,0,1,0,1
case_984979b4,0,0,0,1,1,1
case_bf89c337,0,0,1,1,0,0
case_3080fbc9,1,0,1,1,1,1
case_62243d62,0,0,1,1,0,1
case_01bb9d24,1,1,1,1,1,1
case_2ca33cb2,1,0,1,0,1,0
case_e327169c,1,1,1,1,1,1
case_90c12197,0,1,1,0,1,0
case_3c6a8c74,1,1,1,1,1,1
case_a731d106,1,1,1,1,1,1
case_d9408673,0,1,1,0,0,1
case_27112717,1,1,1,1,1,1
case_9dd58c68,0,1,1,0,0,1
case_549c7103,1,1,1,1,1,1
case_8a40ae33,0,1,1,1,0,1
case_e8d756d7,1,1,0,1,1,1
case_cbf988b6,1,0,1,1,1,0
case_42ad058b,0,0,0,1,0,0
case_71590ab8,0,0,0,0,1,0
case_e4894369,0,1,1,0,1,0
case_5e4956c3,1,0,1,0,1,1
case_f2028cb0,1,1,1,1,1,1
case_5778fa91,0,0,1,1,1,0
case_34f5e0bb,1,0,1,0,1,1
case_f3721a02,1,0,1,1,0,1
case_3fbbf6a0,1,0,1,1,0,1
case_b205e834,1,0,1,1,0,1
case_ad231f68,0,1,1,1,0,1
case_12beb41c,1,1,1,1,0,1
case_4f0a4cba,1,0,1,1,1,1
case_b421954c,0,0,1,0,0,1
case_e4fa0e0b,0,1,1,0,1,0
case_66553cb4,1,1,1,1,0,1
case_8939e721,1,1,1,1,1,1
case_ae13e3fa,1,1,0,0,0,0
case_e3471b80,1,0,1,1,1,1
case_26168319,0,0,1,1,0,1
case_ea4d4293,0,1,1,1,1,1
case_e4798571,0,1,1,1,1,1
case_9b2e45bf,0,0,0,0,1,1
case_e3554f3a,0,1,0,0,1,1
case_91da07c5,1,1,1,1,1,1
