case_id,customer_id,amount_paise,payment_method,failure_code,time_since_failure_minutes,incident_id,historical_payment_success_rate,customer_value_band,engagement_score,assigned_action,propensity,eligible_actions,policy_version,y_observed,split
case_d77f90b8,cust_1d2e3a36,32869,upi,INSUFFICIENT_FUNDS,36,,0.9168374784060335,medium,0.5444996790526929,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,test
case_33ad17e8,cust_7a23e57c,4967,card,BANK_DECLINE,17,,0.8832808163939095,high,0.27362921308700866,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_231329eb,cust_5a32d92a,225876,upi,BANK_TIMEOUT,14,,0.9349448128557996,medium,0.43424326184832585,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,test
case_01c4116d,cust_e96f2c11,134267,upi,INSUFFICIENT_FUNDS,6,,0.6261633205075348,low,0.4943042767462986,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_07e9ce96,cust_695c03d2,145362,card,BANK_DECLINE,4,,0.8788030234281881,low,0.22104059058197478,5,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,val
case_507ba4fe,cust_de366bf1,419634,upi,BANK_TIMEOUT,47,,0.8768286299739553,medium,0.0,2,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_2cb3cc79,cust_763bbe09,101633,upi,BANK_TIMEOUT,12,,0.6340080704959196,medium,0.45385624536246927,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_f7d00bc5,cust_80fabaad,546401,upi,NETWORK_ERROR,1,,0.8862442635956227,low,0.5575345381402634,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,val
case_32fff714,cust_cf94bdf2,135672,upi,BANK_TIMEOUT,74,,0.64692023921659,low,0.25840137102930516,1,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_811c146c,cust_8106b069,35591,upi,INSUFFICIENT_FUNDS,36,,0.9282021295833346,medium,0.07633790369049454,2,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_587d68d9,cust_b017622c,35980,card,BANK_DECLINE,40,,0.8278298949277192,low,0.21787658811580227,1,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_0e498e39,cust_30ad52e7,34545,netbanking,BANK_DECLINE,97,,0.5986497490780788,low,0.4682058693565323,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_142902e4,cust_8344cfcd,171554,upi,INSUFFICIENT_FUNDS,52,,0.5618121816682253,low,0.9444004176024766,1,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_34e54aba,cust_5aab74d4,68824,upi,NETWORK_ERROR,13,,0.7948722496963323,medium,0.4472896709536509,0,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_2e3e3e60,cust_4697886c,49771,card,INSUFFICIENT_FUNDS,3,,0.7667385331233403,low,0.05726301665679054,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,val
case_6fd67755,cust_ef1ecbca,293628,upi,INSUFFICIENT_FUNDS,6,,0.7333122414982118,low,0.1592222186595549,0,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,val
case_8201f783,cust_353c6cc7,26072,upi,NETWORK_ERROR,41,,0.7995936979213902,low,0.039045541938652534,2,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,test
case_860a27aa,cust_11448fa4,58808,card,NETWORK_ERROR,0,,0.6944226095841086,low,0.3815221198234572,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_53462568,cust_1242d9b2,343757,upi,BANK_TIMEOUT,65,,0.8283212881312134,low,0.5932530239940409,1,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_387e71b2,cust_dca41db9,160717,upi,BANK_TIMEOUT,40,,0.9980961215143568,high,0.3485593756845087,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,val
case_cd9a0ccc,cust_727af45c,13811,upi,BANK_TIMEOUT,29,,0.8023853419447422,low,0.5018748910556912,2,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_9dbacaf4,cust_49c8af0d,64202,upi,BANK_TIMEOUT,41,,0.8850395822313444,high,0.20212670091333534,5,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
case_8258e369,cust_09467451,155489,card,INSUFFICIENT_FUNDS,9,,0.2554379605276668,low,0.37709788013843937,1,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,val
case_305ec2ed,cust_bccb3e2e,66047,netbanking,BANK_DECLINE,7,,1.0,high,0.5018954429882609,4,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,test
case_7d5b31e0,cust_31ed615f,1875355,card,BANK_DECLINE,15,,0.7809146873725483,low,0.24372557592299557,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,0,train
case_25d20083,cust_7cc5e2ee,197762,netbanking,BANK_DECLINE,40,,0.6780225939643966,medium,0.4393790000029706,3,0.16666666666666666,"[0, 1, 2, 3, 4, 5]",random_uniform_v1,1,train
