case_id,customer_id,amount_paise,payment_method,failure_code,time_since_failure_minutes,incident_id,historical_payment_success_rate,customer_value_band,engagement_score,assigned_action,propensity,eligible_actions,policy_version,y_observed,split
case_b078983b,cust_9129562b,43255,upi,INSUFFICIENT_FUNDS,22,,0.8689640078906888,medium,0.45039841780876816,2,0.15790679214587977,"[0, 1, 2, 3, 4, 5]",u1,1,val
case_c8eff862,cust_285ef20f,18470,card,INSUFFICIENT_FUNDS,13,,0.6212402727287631,medium,0.4150787071529049,5,0.19656511073148286,"[0, 1, 2, 3, 4, 5]",u1,1,train
case_8bacace5,cust_4d227f48,750571,upi,NETWORK_ERROR,16,,0.5787782513247357,low,0.5098311856389088,2,0.21601455866171254,"[0, 1, 2, 3, 4, 5]",u1,1,train
case_d312c3b5,cust_087b958a,1489085,card,INSUFFICIENT_FUNDS,42,,0.7030503302325275,low,0.6993900429518923,2,0.18704231471624472,"[0, 1, 2, 3, 4, 5]",u1,1,val
case_bdfd73fc,cust_24e15fb3,185217,upi,BANK_TIMEOUT,20,,0.808868393994051,high,0.5496555097279999,5,0.3795050735422863,"[0, 1, 2, 3, 4, 5]",u1,1,train
case_a8365547,cust_9a32ca58,413222,card,NETWORK_ERROR,14,,0.8138478063801802,low,0.4675651217657715,0,0.12413911263922214,"[0, 1, 2, 3, 4, 5]",u1,1,train
case_04f2f522,cust_6a0337d7,271045,upi,INSUFFICIENT_FUNDS,11,,0.9001889849113963,low,0.6313236031339893,1,0.13741122112560536,"[0, 1, 2, 3, 4, 5]",u1,1,train
case_6852dc43,cust_062ed6c4,18032,upi,INSUFFICIENT_FUNDS,16,,0.47384618873041684,low,0.28055148554337794,4,0.1589575301168124,"[0, 1, 2, 3, 4, 5]",u1,1,train
case_990d408c,cust_022816dc,145784,upi,BANK_TIMEOUT,144,,0.6927608270324431,low,0.29673856453088787,3,0.1562903431006384,"[0, 1, 2, 3, 4, 5]",u1,1,test
case_1f1e14fe,cust_ba92c0db,223384,card,BANK_TIMEOUT,15,,0.9892534326887829,medium,0.20591298099540364,4,0.12050854094889037,"[0, 1, 2, 3, 4, 5]",u1,1,train
case_e5aa0ca6,cust_445bda88,230629,upi,NETWORK_ERROR,37,,0.8983040370428237,low,0.36849556373681897,1,0.18221810210543823,"[0, 1, 2, 3, 4, 5]",u1,1,train
case_d0cc546e,cust_9c151b0c,132037,upi,BANK_TIMEOUT,43,,0.889667163612447,low,0.10286535929450777,3,0.18605259888146153,"[0, 1, 2, 3, 4]",u1,1,train
